study,label,n_drones,duration_s,drone_type,coverage_pct,mean_confidence,gap_zones,total_gap_km2,valley_coverage_pct,midslope_coverage_pct,alpine_coverage_pct,valley_confidence,midslope_confidence,alpine_confidence
swarm_size,5drones,5,60.0,small,2.16,0.3801,40,251.7863,2.26,2.32,2.0,0.3108,0.3931,0.3871
swarm_size,10drones,10,60.0,small,4.33,0.3941,40,246.21,5.12,5.08,3.5,0.323,0.4025,0.41
swarm_size,20drones,20,60.0,small,8.59,0.3987,40,235.2353,10.26,10.43,6.64,0.3335,0.4067,0.4136
swarm_size,30drones,30,60.0,small,12.91,0.3997,40,224.0832,16.1,15.75,9.75,0.3321,0.408,0.4166
swarm_size,50drones,50,60.0,small,21.5,0.3986,85,202.0045,27.27,26.24,16.09,0.3386,0.4034,0.4175
duration,30s,20,30.0,small,4.28,0.3706,40,246.3214,10.66,5.85,1.37,0.3361,0.3799,0.4049
duration,60s,20,60.0,small,8.6,0.3964,40,235.1981,10.39,10.45,6.62,0.3346,0.4,0.416
duration,90s,20,90.0,small,11.29,0.38,40,228.2512,10.3,11.64,11.25,0.3379,0.395,0.3767
duration,120s,20,120.0,small,11.33,0.3839,43,228.1674,10.33,11.66,11.3,0.343,0.4009,0.3787
drone_type,micro,20,60.0,micro,7.59,0.3832,64,237.2583,13.82,10.77,3.38,0.3387,0.3911,0.4078
drone_type,small,20,60.0,small,8.6,0.3968,40,235.198,10.45,10.4,6.64,0.339,0.4031,0.4113
drone_type,medium,20,60.0,medium,8.24,0.3848,40,236.1396,8.13,8.45,8.09,0.3313,0.4021,0.3832
